1,viewed,47435,1465181036
1,viewed,47438,1465181034
1,viewed,47435,1465181021
1,viewed,47436,1465181015
1,viewed,41605,1465180037
1,viewed,47436,1465180033
1,viewed,47436,1465179924
2,viewed,38906,1465176914
2,viewed,38909,1465176484
3,viewed,44115,1465176471
3,viewed,38857,1465176470
3,viewed,44104,1465176444
3,viewed,52720,1465176432
1,viewed,47437,1465175623
1,viewed,47434,1465175284
1,viewed,38933,1465175269
1,viewed,52722,1465174679
4,passed,44381,1465173845
4,discovered,44381,1465173845
4,viewed,44381,1465173845
4,passed,44380,1465173087
4,discovered,44380,1465173087
4,viewed,44380,1465173087
4,passed,44383,1465172670
4,discovered,44383,1465172670
4,viewed,44383,1465172670
4,passed,38872,1465172667
4,discovered,38872,1465172667
4,viewed,38872,1465172667
4,started_attempt,40681,1465172598
4,discovered,40681,1465172570
4,viewed,40681,1465172570
4,passed,42400,1465172245
4,discovered,42400,1465172245
4,viewed,42400,1465172245
4,passed,42398,1465172001
4,discovered,42398,1465172001
4,viewed,42398,1465172001
4,passed,42399,1465171424
4,discovered,42399,1465171424
4,viewed,42399,1465171424
5,discovered,41184,1465171169
5,viewed,41184,1465171169
4,passed,42396,1465171019
4,discovered,42396,1465171019
4,viewed,42396,1465171019
4,passed,42397,1465170808
4,discovered,42397,1465170808
4,viewed,42397,1465170808
4,passed,38848,1465170802
4,discovered,38848,1465170802
4,viewed,38848,1465170802
4,discovered,40665,1465170778
4,viewed,40665,1465170778
4,viewed,42392,1465170754
4,viewed,42390,1465170736
4,passed,42392,1465170721
4,discovered,42392,1465170721
4,viewed,42392,1465170721
4,viewed,42390,1465170717
6,viewed,41481,1465169627
7,passed,47434,1465167874
7,discovered,47434,1465167874
7,viewed,47434,1465167874
7,passed,38933,1465167865
7,discovered,38933,1465167865
7,viewed,38933,1465167865
7,viewed,38930,1465167843
5,discovered,41098,1465167832
5,viewed,41098,1465167832
7,passed,47422,1465167772
7,discovered,47422,1465167772
7,viewed,47422,1465167772
7,discovered,41603,1465167704
7,viewed,41603,1465167704
8,discovered,39735,1465167662
8,viewed,39735,1465167662
7,discovered,41604,1465167660
7,viewed,41604,1465167660
7,passed,47421,1465167598
7,discovered,47421,1465167598
7,viewed,47421,1465167598
8,passed,44806,1465167514
8,discovered,44806,1465167514
8,viewed,44806,1465167514
8,passed,44808,1465167416
8,discovered,44808,1465167416
8,viewed,44808,1465167416
5,discovered,41097,1465167197
5,viewed,41097,1465167197
8,passed,44807,1465167147
8,discovered,44807,1465167147
8,viewed,44807,1465167147
9,passed,42386,1465167097
9,discovered,42386,1465167097
9,viewed,42386,1465167097
8,passed,44382,1465167092
8,discovered,44382,1465167092
8,viewed,44382,1465167092
9,passed,42383,1465166873
9,discovered,42383,1465166873
9,viewed,42383,1465166873
9,passed,42385,1465166826
9,discovered,42385,1465166826
9,viewed,42385,1465166826
7,passed,47420,1465166821
7,discovered,47420,1465166821
7,viewed,47420,1465166821
7,passed,38930,1465166816
7,discovered,38930,1465166816
7,viewed,38930,1465166816
10,passed,44386,1465166789
10,discovered,44386,1465166789
10,viewed,44386,1465166789
8,passed,44381,1465166751
8,discovered,44381,1465166751
8,viewed,44381,1465166751
11,viewed,44386,1465166729
9,passed,42384,1465166659
9,discovered,42384,1465166659
9,viewed,42384,1465166659
9,passed,38842,1465166654
9,discovered,38842,1465166654
9,viewed,38842,1465166654
9,viewed,64865,1465166570
8,passed,44380,1465166545
8,discovered,44380,1465166545
8,viewed,44380,1465166545
11,viewed,41097,1465166392
5,passed,44385,1465166372
5,discovered,44385,1465166372
5,viewed,44385,1465166372
11,viewed,44387,1465166353
10,passed,44387,1465166296
10,discovered,44387,1465166296
10,viewed,44387,1465166296
10,passed,38875,1465166242
10,discovered,38875,1465166242
10,viewed,38875,1465166242
8,passed,44383,1465166224
8,discovered,44383,1465166224
8,viewed,44383,1465166224
8,passed,38872,1465166217
8,discovered,38872,1465166217
8,viewed,38872,1465166217
7,passed,47440,1465166184
7,discovered,47440,1465166184
7,viewed,47440,1465166184
7,passed,38936,1465166180
7,discovered,38936,1465166180
7,viewed,38936,1465166180
11,viewed,41097,1465166016
8,started_attempt,40683,1465165646
12,viewed,42383,1465165609
12,viewed,42386,1465165608
12,viewed,39715,1465165608
12,viewed,39716,1465165608
12,viewed,39717,1465165608
12,discovered,39721,1465165596
12,viewed,39721,1465165596
12,viewed,39717,1465165595
12,started_attempt,39721,1465165594
12,discovered,39717,1465165584
12,viewed,39717,1465165584
12,discovered,39716,1465165572
12,viewed,39716,1465165572
8,discovered,40683,1465165566
8,viewed,40683,1465165566
8,passed,40684,1465165561
12,viewed,39715,1465165556
12,viewed,42386,1465165555
8,started_attempt,40684,1465165516
8,discovered,40684,1465165505
8,viewed,40684,1465165505
8,passed,40680,1465165495
13,viewed,42386,1465165440
8,started_attempt,40680,1465165378
8,discovered,40680,1465165373
8,viewed,40680,1465165373
8,passed,40681,1465165367
12,viewed,42386,1465165256
12,viewed,42383,1465165254
10,viewed,47290,1465165233
10,passed,47288,1465165229
10,discovered,47288,1465165229
10,viewed,47288,1465165229
8,started_attempt,40681,1465165191
8,discovered,40681,1465165177
8,viewed,40681,1465165177
12,viewed,42383,1465164976
12,viewed,42385,1465164974
8,passed,42400,1465164920
8,discovered,42400,1465164920
8,viewed,42400,1465164920
9,viewed,64865,1465164855
8,passed,42398,1465164833
8,discovered,42398,1465164833
8,viewed,42398,1465164833
12,viewed,42385,1465164827
12,viewed,42384,1465164825
8,passed,42399,1465164514
8,discovered,42399,1465164514
8,viewed,42399,1465164514
12,viewed,42384,1465164437
12,viewed,38842,1465164430
12,viewed,38842,1465164427
12,viewed,42384,1465164426
12,viewed,42385,1465164426
12,viewed,42383,1465164425
12,viewed,42386,1465164425
12,discovered,39715,1465164420
12,viewed,39715,1465164420
12,passed,42386,1465164418
12,discovered,42386,1465164418
12,viewed,42386,1465164418
12,passed,42383,1465164417
12,discovered,42383,1465164417
12,viewed,42383,1465164417
12,passed,42385,1465164414
12,discovered,42385,1465164414
12,viewed,42385,1465164414
12,viewed,42384,1465164414
12,viewed,38842,1465164411
12,passed,42384,1465164409
12,discovered,42384,1465164409
12,viewed,42384,1465164409
12,passed,38842,1465164398
12,discovered,38842,1465164398
12,viewed,38842,1465164398
12,viewed,64865,1465164393
8,passed,42396,1465164213
8,discovered,42396,1465164213
8,viewed,42396,1465164213
12,passed,64865,1465164131
12,discovered,64865,1465164131
12,viewed,64865,1465164131
12,passed,38854,1465164120
12,discovered,38854,1465164120
12,viewed,38854,1465164120
8,passed,42397,1465164038
8,discovered,42397,1465164038
8,viewed,42397,1465164038
8,passed,38848,1465164030
8,discovered,38848,1465164030